emp_title,emp_length,state,homeownership,loan_amount,term,interest_rate
,,FL,MORTGAGE,5000,36,10.41
bulk mail technician,10.0,IN,RENT,3500,36,12.61
plumber/pipefitter,10.0,CA,OWN,15000,36,9.93
insurance/finanical coordinator,10.0,CA,MORTGAGE,13775,36,13.59
paraprofessional ,9.0,NJ,RENT,5000,36,13.58
lpn,3.0,NY,OWN,6500,36,22.91
nursing assistant ,3.0,NJ,MORTGAGE,16825,36,18.45
sales manager,10.0,NC,MORTGAGE,20000,60,13.58
staff rn,10.0,LA,RENT,30000,60,19.42
supervisor,10.0,NC,OWN,10000,60,9.44
president & ceo,9.0,PA,MORTGAGE,30000,36,7.35
vice president ,10.0,FL,MORTGAGE,26000,60,10.91
accountant,3.0,CA,MORTGAGE,14000,36,6.72
seaman,1.0,WA,RENT,1000,36,13.59
account manager ,0.0,NY,MORTGAGE,10000,36,13.59
,2.0,SC,RENT,40000,36,9.92
payroll supervisor,10.0,CA,MORTGAGE,35000,60,15.05
legal assistant,10.0,OR,MORTGAGE,18000,60,20.0
night manager ,3.0,NY,RENT,10000,36,17.09
nurse,5.0,CA,RENT,38000,36,6.71
,,MI,MORTGAGE,6000,36,11.98
readiness nco,10.0,DE,MORTGAGE,14000,36,12.61
import agent,0.0,GA,OWN,12000,36,14.08
lead sales and service associate ,5.0,CO,MORTGAGE,13000,60,9.93
fixer,10.0,NC,MORTGAGE,3000,36,9.92
baker,0.0,NM,MORTGAGE,16000,60,13.59
benefits advisor ,5.0,OH,MORTGAGE,4200,36,6.07
a&p mechanic,10.0,AZ,MORTGAGE,12000,36,10.91
,,MI,OWN,3000,36,13.59
truck driver,10.0,HI,RENT,15000,60,15.04
registered nurse,3.0,CA,RENT,10000,36,12.62
rt,3.0,NH,MORTGAGE,35000,36,16.02
it,10.0,OH,MORTGAGE,4000,36,15.04
pos,3.0,DE,RENT,5000,36,11.98
service technician,10.0,IL,OWN,40000,36,6.72
association manager,2.0,VA,RENT,4200,36,10.91
driver ,10.0,NY,MORTGAGE,7000,36,10.9
,,IL,MORTGAGE,20000,36,7.35
owner/ sales,10.0,CA,RENT,20000,36,7.34
installer,2.0,AZ,RENT,8500,36,9.92
shop foreman,2.0,IL,RENT,30000,60,24.84
machine operator,1.0,WI,MORTGAGE,30000,60,7.34
rn,10.0,MN,MORTGAGE,4000,36,10.41
sales,10.0,NJ,MORTGAGE,18000,36,9.43
database administrator,1.0,IL,RENT,24000,60,15.05
general manager ,10.0,TX,OWN,21000,60,12.61
sales,9.0,CA,OWN,1500,36,9.92
teacher,0.0,MD,RENT,20000,60,19.42
branch manager,0.0,CO,RENT,30000,36,21.45
cook,1.0,GA,OWN,5000,36,10.9
principal consultant,7.0,CA,MORTGAGE,16000,36,6.72
supervisor,9.0,OH,MORTGAGE,24000,60,12.61
legal assistant,5.0,NY,MORTGAGE,4000,36,7.96
welder fabricator,10.0,AL,MORTGAGE,11000,36,9.93
sr program administrator iii,6.0,TX,MORTGAGE,8000,36,16.02
transaction specialist,6.0,VA,RENT,32000,36,9.44
,,OR,MORTGAGE,15000,60,9.93
food service director,7.0,NY,RENT,7000,36,14.08
,,CA,MORTGAGE,10000,60,13.58
technical training coordinator,10.0,GA,RENT,20000,36,9.92
it manager,5.0,TN,MORTGAGE,27500,60,9.44
,,IN,MORTGAGE,20000,60,18.45
vice president,10.0,MI,MORTGAGE,30000,36,10.41
rocket technician,10.0,FL,RENT,6000,36,10.42
rubber-liner suupervisor,10.0,NJ,MORTGAGE,15000,36,6.07
,,OH,MORTGAGE,20000,36,15.04
operations manager,5.0,NJ,RENT,20000,36,9.93
nurse tech ,3.0,MO,RENT,2000,36,6.08
security administrator,10.0,KS,MORTGAGE,20000,60,15.05
,,VA,MORTGAGE,30000,36,23.87
software developer,5.0,CA,RENT,3000,36,19.42
service tegh,10.0,TX,OWN,3000,36,16.02
conversion operations ,4.0,CT,OWN,30000,60,26.77
branch manager,0.0,UT,RENT,7550,36,10.91
stylist,0.0,AZ,RENT,4000,36,7.96
senior account executive,1.0,OH,MORTGAGE,20000,60,10.42
truck driver,10.0,TX,MORTGAGE,27000,36,6.72
caregiver ,4.0,TX,OWN,4000,36,16.02
janitor,10.0,WA,MORTGAGE,15000,36,13.59
admin assistant,0.0,AZ,MORTGAGE,18000,36,7.34
president,10.0,AZ,MORTGAGE,15000,36,7.35
executive assistant,3.0,CT,MORTGAGE,35000,60,30.17
environmental specialist,1.0,KY,OWN,5000,36,15.05
office manager,5.0,TN,RENT,35500,60,9.44
labor ,6.0,KY,OWN,15000,36,15.04
director retired educators ,10.0,VA,MORTGAGE,25000,36,7.34
service cordinator,10.0,OH,OWN,5000,36,7.34
software engineer,10.0,CA,RENT,35875,60,13.59
pharmacist,6.0,WI,RENT,40000,60,11.99
dispatcher,10.0,MN,MORTGAGE,12000,36,6.72
,,FL,MORTGAGE,7000,36,10.42
national sales manager,0.0,OH,RENT,23875,60,18.06
clerical asscociate ll,10.0,NY,RENT,30000,36,21.45
business manager,10.0,OR,MORTGAGE,35000,36,5.31
network tech,10.0,WA,RENT,32150,60,13.58
maintenance electrician ,1.0,PA,MORTGAGE,4800,36,11.99
delivery driver ,3.0,TX,RENT,10000,36,21.45
hr manager,2.0,OH,RENT,12000,36,9.93
registar ,2.0,NY,RENT,12000,36,14.07
loan officer assistant,3.0,SC,MORTGAGE,10000,36,7.35
home care worker,10.0,NY,RENT,10000,36,14.08
bookkeeper,8.0,MT,RENT,1000,36,7.35
nurse's assistant ,1.0,NY,OWN,17000,60,14.08
manager,10.0,NY,MORTGAGE,15000,36,10.91
personal banker / teller 4,5.0,FL,OWN,23000,60,12.62
,,KS,RENT,15000,60,12.61
stocker,10.0,IN,MORTGAGE,5000,36,5.31
production management ,3.0,CA,MORTGAGE,32000,60,15.05
estimator,3.0,TX,RENT,3000,36,9.92
technical sales representative,10.0,TN,MORTGAGE,18000,36,5.32
corrections officer,4.0,MA,RENT,12000,60,28.72
instructional support teacher,10.0,GA,MORTGAGE,10000,36,7.97
administrative assistant ,0.0,MD,RENT,15000,36,22.9
nursecare,5.0,NY,RENT,15000,60,13.59
owner,6.0,PA,RENT,40000,60,16.02
server,4.0,SC,MORTGAGE,5000,36,7.97
assistant manager,0.0,KY,RENT,7200,36,6.71
owner,8.0,MO,MORTGAGE,5800,36,7.34
,,FL,OWN,14375,60,10.9
operations manager,10.0,MN,MORTGAGE,35000,60,10.42
cashier,3.0,FL,OWN,7500,36,21.85
maternity ,10.0,TX,OWN,6000,36,9.92
sales,2.0,LA,MORTGAGE,21000,60,11.99
director,10.0,PA,MORTGAGE,10000,60,17.09
secretary,10.0,NY,RENT,10400,36,20.0
pipefitter journeyman,9.0,CA,MORTGAGE,24000,36,10.9
maneger,6.0,GA,OWN,24000,36,15.05
project manager,3.0,NJ,MORTGAGE,35000,60,13.58
director - human resources,7.0,PA,RENT,12000,60,19.03
mail clerk,2.0,RI,RENT,1000,36,25.82
,,NY,MORTGAGE,35000,36,11.98
certified veterinary technician,2.0,IL,RENT,7200,36,21.45
property director,1.0,CA,RENT,25000,36,9.93
president,10.0,FL,MORTGAGE,25000,36,16.02
broadcast designer,10.0,GA,RENT,24000,60,7.34
gis tech,6.0,TN,MORTGAGE,12000,60,11.99
firefighter,10.0,NY,OWN,16000,60,19.03
delivery driver,0.0,AL,RENT,12000,60,17.09
driver,10.0,MI,MORTGAGE,15000,60,9.44
disability specialist ,10.0,NY,RENT,3125,36,6.07
nurse,3.0,TX,OWN,33600,60,9.93
,,PA,RENT,5000,36,6.72
it product owner,5.0,MN,MORTGAGE,40000,60,16.02
owner,5.0,PA,RENT,3000,36,9.44
heavy equipment operator,10.0,NE,MORTGAGE,2500,36,6.07
broker/realtor,10.0,AK,MORTGAGE,30000,36,9.93
work leader,10.0,TX,MORTGAGE,20000,60,18.06
collision technician,2.0,AZ,MORTGAGE,34825,60,12.61
human resources director ,5.0,CA,RENT,19000,36,7.35
analyst,1.0,GA,RENT,8000,36,13.59
marketing,1.0,CA,MORTGAGE,24725,60,10.9
dry film operator,1.0,CA,RENT,10000,36,11.98
maintenance,3.0,IN,MORTGAGE,20000,36,14.08
bartender,10.0,MO,RENT,11000,60,7.35
warranty/tech support,2.0,NY,OWN,7800,36,10.91
marketing manager,1.0,NY,RENT,15000,36,9.92
art teacher,3.0,WY,MORTGAGE,6000,36,7.97
owner,10.0,CA,MORTGAGE,13000,60,12.62
teacher,4.0,MO,MORTGAGE,20000,60,28.72
secretary,2.0,FL,RENT,20000,36,20.0
director of sales,2.0,CA,RENT,25000,36,6.08
operator ,9.0,OH,MORTGAGE,35000,60,12.61
extruder operator,10.0,OH,MORTGAGE,6000,36,17.09
project coordinator,0.0,MN,MORTGAGE,23550,36,7.97
warehouse worker,3.0,NY,OWN,20000,60,23.87
senior treasury analyst,5.0,NV,MORTGAGE,7600,36,7.96
regional sales manager`,10.0,NY,MORTGAGE,40000,36,6.08
account executive,2.0,TX,MORTGAGE,12000,60,12.62
recycling ,7.0,FL,RENT,15000,60,14.08
commodity broker,0.0,IL,MORTGAGE,5000,36,10.9
composite shop lead,5.0,GA,MORTGAGE,10000,60,30.65
foreclosure clerk,1.0,NY,RENT,11500,36,15.05
marketing manager,2.0,CA,RENT,21000,36,11.99
chef,1.0,NM,RENT,40000,60,17.09
vice president,10.0,NY,MORTGAGE,10000,36,7.35
humanitarian international worker,4.0,CT,RENT,9000,36,13.58
owner,1.0,FL,RENT,24000,36,15.04
agency records manager,10.0,VA,MORTGAGE,10000,36,10.41
lead supervisor ,2.0,TX,MORTGAGE,12000,36,16.02
,,PA,MORTGAGE,12000,60,16.01
financial analyst,2.0,NC,MORTGAGE,40000,60,9.44
msr,1.0,OR,RENT,7000,36,23.88
director,6.0,MD,OWN,15500,36,7.35
operations manager,10.0,MD,MORTGAGE,11100,60,9.93
teacher,10.0,OH,MORTGAGE,14000,60,16.02
registered nurse,4.0,AR,MORTGAGE,13000,36,5.32
business analyst,10.0,FL,MORTGAGE,15000,36,13.59
,,FL,MORTGAGE,5150,36,7.96
attorney,10.0,VA,MORTGAGE,39000,60,10.42
audio technician,10.0,IL,MORTGAGE,4000,36,18.06
plant manager,0.0,CA,RENT,23000,36,10.42
teacher,3.0,GA,MORTGAGE,30000,60,18.45
service tech,10.0,OH,MORTGAGE,16000,60,10.42
,,GA,OWN,8425,36,22.9
attendance officer,3.0,NJ,OWN,15000,36,10.91
health services administrator,7.0,WY,MORTGAGE,20000,36,10.41
consultant,10.0,TX,MORTGAGE,9800,36,6.08
truck driver,3.0,NC,MORTGAGE,30000,60,14.08
bus driver,2.0,IL,MORTGAGE,8000,36,6.72
teacher,5.0,MD,MORTGAGE,11500,60,18.45
kitchen helper,2.0,NY,RENT,7000,36,11.99
supervisor,10.0,OH,MORTGAGE,16500,60,23.88
salesperson,0.0,OR,RENT,10000,36,6.71
registered nurse 2,10.0,CA,MORTGAGE,38500,60,12.62
estimator,10.0,KS,MORTGAGE,6000,36,7.34
loan processor,2.0,FL,MORTGAGE,6000,36,11.98
general manager,10.0,NY,RENT,40000,60,16.02
deputy sheriff,10.0,OH,MORTGAGE,14000,36,5.31
economic and community developer,10.0,VA,MORTGAGE,32000,60,9.93
maintenance porter,10.0,VA,MORTGAGE,7000,36,6.07
driver,0.0,OK,OWN,6000,36,9.92
general manager,10.0,PA,MORTGAGE,9600,36,7.34
store director,5.0,AZ,MORTGAGE,20000,60,10.9
kitchen manager,4.0,VT,MORTGAGE,31000,36,7.96
principal consultant,10.0,FL,MORTGAGE,6500,36,6.08
owner,4.0,CA,RENT,10000,36,9.43
,,MN,OWN,30000,36,7.97
pharmacy technician,3.0,CA,OWN,16800,60,15.05
,,MT,MORTGAGE,10000,60,9.44
assistant professor,0.0,NY,RENT,10000,36,6.08
president,2.0,CA,RENT,20000,36,9.44
owner ,10.0,IN,MORTGAGE,20000,36,9.43
accounting,3.0,OH,MORTGAGE,19000,36,16.02
speech pathologist,0.0,AR,MORTGAGE,11200,36,6.72
,,NV,MORTGAGE,25000,60,9.93
lead server,9.0,CA,RENT,16800,60,13.58
truck driver,0.0,MA,RENT,7000,36,9.92
chemistry professor,6.0,MD,MORTGAGE,13425,60,10.9
assembler,3.0,RI,RENT,2800,36,9.93
power systems engineer,1.0,CO,RENT,10000,36,6.72
regional controller,3.0,MI,MORTGAGE,16000,36,19.42
technical advisor,10.0,TX,RENT,10000,36,6.72
vp brand marketing,3.0,CT,MORTGAGE,3000,36,17.09
rn,10.0,TX,MORTGAGE,35000,60,9.44
sole owner,9.0,FL,MORTGAGE,3000,36,6.72
gw2,10.0,OR,MORTGAGE,12000,36,7.96
facility manager,10.0,PA,MORTGAGE,2500,36,6.71
grievance coordinator ,7.0,CA,RENT,30000,60,9.93
r&d technician ,9.0,LA,MORTGAGE,5000,36,22.9
logistics supervision ,10.0,CO,RENT,35000,60,17.47
senior life underwriter,3.0,CO,MORTGAGE,11500,36,6.07
dock worker,0.0,MN,RENT,20000,36,16.02
deputy section manager,8.0,OR,MORTGAGE,32000,36,18.45
,0.0,MI,RENT,17000,60,9.44
floor tech,4.0,MA,RENT,10000,36,11.99
head of operations,4.0,GA,MORTGAGE,10000,36,6.72
attorney,4.0,NJ,RENT,23275,60,18.45
account manager,7.0,OH,MORTGAGE,21600,60,13.59
banquet captain ,2.0,FL,RENT,10000,60,21.45
warehouse associate ,6.0,TX,RENT,30000,60,30.17
owner / president,5.0,GA,MORTGAGE,40000,60,16.02
contract administrator,3.0,NY,MORTGAGE,4200,36,7.35
special agent,9.0,CA,MORTGAGE,26000,60,25.82
,,MI,RENT,6000,36,10.41
assessment specialist,6.0,OR,MORTGAGE,20000,60,12.62
"coordinator, rehab services",10.0,KY,MORTGAGE,15500,36,7.34
computer tec,0.0,FL,MORTGAGE,20000,60,15.05
shipping and receiving,5.0,CA,RENT,7000,36,9.43
owner,2.0,NC,RENT,34700,60,12.61
account manager,10.0,KS,MORTGAGE,5000,36,19.42
operations manager,8.0,CO,OWN,11400,60,12.62
driver,1.0,GA,OWN,7000,36,11.99
teacher,10.0,WY,MORTGAGE,30000,60,7.34
,,CA,MORTGAGE,20000,60,11.99
hardware engineer,3.0,OH,RENT,27700,60,17.09
flight chief,10.0,CA,RENT,32000,60,12.62
technical specialist,2.0,FL,MORTGAGE,12000,60,14.07
visual manager,3.0,FL,OWN,10050,36,16.01
marketing advisor ,1.0,GA,RENT,15000,36,7.34
driver,10.0,MN,MORTGAGE,10000,60,15.04
engineer/project manager,0.0,MI,MORTGAGE,40000,60,7.35
clerk/treasurer,10.0,IN,MORTGAGE,4900,36,6.72
payroll ,4.0,MO,MORTGAGE,29000,36,6.08
sr data manager`,1.0,GA,MORTGAGE,28000,60,12.62
teacher,9.0,AL,MORTGAGE,18000,60,24.85
project manager,5.0,CO,OWN,28000,36,5.31
controller,10.0,CT,MORTGAGE,40000,60,9.43
loan officer assistant,0.0,VA,RENT,10000,36,7.35
after school and day camp director,1.0,NY,RENT,5250,36,11.98
sr procurement cost analyst,1.0,AZ,RENT,40000,60,9.92
field operator,3.0,TX,MORTGAGE,5000,36,11.99
professor,5.0,MO,MORTGAGE,24000,36,21.45
managing consultant,9.0,NY,RENT,5000,36,7.35
operator,5.0,OH,OWN,4000,36,16.01
photographer,0.0,AZ,RENT,10000,36,12.62
clinical coordiantor,10.0,CA,OWN,30000,36,20.39
ceo,10.0,NY,OWN,40000,36,10.91
administrative assistant ,10.0,IN,MORTGAGE,2800,36,7.34
,,OK,MORTGAGE,15600,36,11.98
merchandising shift leader,3.0,MA,RENT,6025,36,9.43
teacher,10.0,TX,RENT,7000,36,6.72
roustabout ,3.0,MD,OWN,14000,36,6.07
cleaner,5.0,NJ,RENT,8000,36,10.91
telecom/ fiber technician,10.0,GA,MORTGAGE,8000,36,10.42
realtor,5.0,SC,MORTGAGE,39400,60,15.05
project specialist ,6.0,OH,MORTGAGE,15000,36,15.05
nurse,10.0,OH,MORTGAGE,10000,36,11.98
maint,10.0,IN,MORTGAGE,20000,36,7.34
bus driver,10.0,GA,RENT,10000,60,19.42
restaurant manager ,2.0,TX,RENT,25000,60,24.85
claims adjuster,3.0,OH,RENT,6500,36,7.96
teachers assistant,4.0,NY,RENT,15000,36,7.96
meteorologist,10.0,FL,MORTGAGE,16000,36,10.9
senior accountant,0.0,OR,MORTGAGE,2400,36,7.96
owner,10.0,ME,MORTGAGE,10000,36,15.05
automobile technician ,6.0,NY,RENT,15400,60,24.85
,,NJ,RENT,7000,36,11.99
admin sec,7.0,GA,MORTGAGE,10000,36,18.45
vice president,10.0,TX,OWN,40000,36,7.96
operating clerk,10.0,CA,MORTGAGE,24000,60,11.99
,,WV,OWN,22000,36,7.96
strategic analysis,7.0,VA,MORTGAGE,40000,36,5.32
cutter,4.0,WA,RENT,10000,36,15.04
senior project manager,2.0,NJ,RENT,16000,60,12.61
distribution ,9.0,IL,MORTGAGE,20400,60,9.93
,,NV,MORTGAGE,12000,36,9.43
foreman electrician,6.0,CA,RENT,8000,36,18.06
black jack dealer ,0.0,TX,RENT,7000,36,13.58
,,AK,MORTGAGE,10000,36,11.98
budget manager,10.0,NY,OWN,10000,60,11.98
principal,10.0,MD,MORTGAGE,36000,36,7.35
owner,7.0,CA,RENT,10000,36,7.97
teacher,10.0,IL,MORTGAGE,28000,60,7.35
senior electronics technician,10.0,KS,MORTGAGE,6000,36,14.07
operations supervisor ,3.0,TN,MORTGAGE,12000,60,20.0
sales consultant,5.0,OK,MORTGAGE,20000,60,10.9
,,FL,MORTGAGE,5350,36,10.91
principal,6.0,MD,MORTGAGE,24000,36,6.71
owner/manager,5.0,GA,OWN,23000,60,9.93
bus operator,1.0,MD,RENT,6000,36,6.08
supervisor inspection,10.0,VT,MORTGAGE,17000,60,9.92
certified medical assistant,3.0,LA,RENT,5000,36,18.06
lead floor tech,0.0,AL,OWN,10000,36,16.02
"president, attorney",10.0,LA,MORTGAGE,12000,36,13.59
retail clerk,10.0,CA,RENT,14000,60,9.93
program manager,10.0,MD,MORTGAGE,30000,60,7.35
engineering expeditor,6.0,TX,OWN,3000,36,11.99
customer service ,1.0,MO,MORTGAGE,6000,36,17.47
teacher,6.0,AZ,RENT,7000,36,15.05
import agent,1.0,CA,RENT,12000,36,7.97
manufacturing engineer,5.0,CT,RENT,16000,60,26.3
tool specialist,3.0,CA,RENT,9600,36,10.42
associate attorney,0.0,TX,RENT,5100,36,23.88
warehouse supervisor,10.0,FL,OWN,10000,60,15.05
,,NY,MORTGAGE,6500,36,7.96
aircraft maintenance control,3.0,TX,MORTGAGE,6000,36,11.99
cashier,1.0,IL,MORTGAGE,20000,60,20.0
forman,7.0,TN,RENT,20000,36,18.06
,,NY,MORTGAGE,15000,36,9.43
maintenance ,3.0,CT,MORTGAGE,25000,36,13.58
general manager,10.0,CA,MORTGAGE,6000,36,6.07
auditor,2.0,CA,RENT,30000,36,13.59
payroll processor,0.0,TX,RENT,2000,36,12.61
owner,10.0,TX,MORTGAGE,14400,36,18.06
manager,0.0,GA,RENT,25000,60,15.05
owner,6.0,MS,MORTGAGE,35000,60,16.02
it administrator,2.0,CA,MORTGAGE,40000,60,10.42
director of coaching,0.0,GA,MORTGAGE,35000,60,17.09
human resource manager,2.0,OK,MORTGAGE,14800,36,9.92
account manager,7.0,NC,MORTGAGE,15000,36,11.99
security technician ,3.0,NC,MORTGAGE,21000,60,9.92
it devl manager,10.0,MN,MORTGAGE,22000,60,9.93
svp,10.0,PA,MORTGAGE,16000,36,17.09
supervisor,3.0,CA,RENT,18200,60,10.42
electrical engineer,10.0,CA,RENT,15000,36,18.06
director of warehousing,5.0,WA,RENT,15500,60,12.61
senior accountant,6.0,CA,RENT,15000,36,9.92
forklift driver,7.0,TN,MORTGAGE,10000,36,9.93
g1 sergeant major,10.0,RI,MORTGAGE,21000,36,7.97
senior advisor ,8.0,TX,OWN,8000,36,7.96
ct tech,9.0,OH,OWN,9600,36,7.35
plant supervisor ,10.0,SC,MORTGAGE,12000,60,13.58
software engineer,6.0,CA,OWN,10000,36,10.41
assistant branch manager,5.0,PA,RENT,8000,36,9.93
traffic coordinator,10.0,WI,RENT,13000,36,10.42
director,10.0,CA,RENT,34650,36,11.99
instructional designer ,10.0,WV,MORTGAGE,12000,36,9.92
forman,10.0,MD,OWN,10000,36,9.44
owner,5.0,WI,MORTGAGE,16000,36,7.34
network tech,10.0,CA,MORTGAGE,32000,60,16.02
welder,0.0,TX,RENT,15000,36,12.61
ar/gl accountant,7.0,MD,OWN,10000,36,17.47
service tech,7.0,IL,MORTGAGE,15000,60,14.07
manager,10.0,GA,MORTGAGE,30000,36,5.31
driver,3.0,CA,RENT,26000,60,19.03
automotive,10.0,UT,MORTGAGE,17625,36,18.45
investigative specialist,10.0,NV,MORTGAGE,20000,60,21.85
sales manager,10.0,CA,MORTGAGE,21000,36,7.34
critical skills operator ,10.0,NC,RENT,20000,60,19.03
scheduling coordinator,5.0,CO,RENT,30000,36,7.34
executive assistant,1.0,WA,RENT,16000,36,15.05
physician ,10.0,WI,MORTGAGE,16500,60,9.43
maintenance ,2.0,KY,RENT,10000,60,21.45
director of operations,6.0,TX,MORTGAGE,31325,60,11.98
manager,10.0,CA,RENT,10000,36,6.71
controller ,2.0,KS,MORTGAGE,13000,60,14.08
owner,8.0,CA,OWN,20000,36,7.97
president,10.0,SC,MORTGAGE,35000,36,14.08
sr market research analyst,10.0,OH,MORTGAGE,10000,36,9.92
territory sales manager,9.0,CA,RENT,15000,36,6.72
attorney,10.0,TX,MORTGAGE,12000,36,14.08
logistics,2.0,MT,OWN,10000,36,13.59
production supervisor ,10.0,AZ,MORTGAGE,36000,60,13.59
senior medical billing specialist,10.0,AK,OWN,13000,60,10.9
,,FL,RENT,2250,36,26.3
account manager,1.0,IL,MORTGAGE,32200,60,9.44
zone manager,10.0,OK,MORTGAGE,11000,60,15.05
machine operator,4.0,NC,RENT,10000,36,7.34
bookkeeper,5.0,GA,MORTGAGE,15000,60,20.0
owner,10.0,AZ,MORTGAGE,20000,36,7.34
senior analyst,10.0,IL,RENT,24000,60,10.9
controller ,10.0,CA,MORTGAGE,16000,36,16.02
sr mechanical designer,5.0,IL,MORTGAGE,7000,36,16.02
pipefitter,10.0,OH,MORTGAGE,25200,60,10.9
executive director,3.0,WA,MORTGAGE,30000,60,13.59
part sorter,2.0,TN,MORTGAGE,4050,36,26.3
,,GA,MORTGAGE,6000,36,15.05
rgm,0.0,NJ,RENT,15000,36,10.91
owner,10.0,OR,MORTGAGE,40000,60,7.34
billing specialist,3.0,MA,RENT,23000,60,14.08
case manager,3.0,CA,RENT,35000,36,16.01
joint venture partner,2.0,GA,MORTGAGE,10000,36,11.99
manager,3.0,KS,MORTGAGE,36000,60,14.08
registered nurse,2.0,IN,OWN,6000,36,6.07
production graphics,1.0,CA,MORTGAGE,2000,36,6.08
utilization rev,0.0,FL,RENT,36000,60,25.82
auto tech,10.0,NJ,MORTGAGE,7500,36,10.41
undergound lineman,10.0,NY,MORTGAGE,24775,60,20.0
director of alumni engagement,10.0,CT,RENT,16000,36,7.35
it professional ,3.0,MO,RENT,30000,36,20.39
program officer,5.0,NM,MORTGAGE,3600,36,7.96
rn,10.0,NC,MORTGAGE,3600,36,6.08
general manager,8.0,GA,MORTGAGE,40000,60,13.58
senior or surgical coder,10.0,FL,MORTGAGE,15000,36,7.34
senior vice president,2.0,WA,MORTGAGE,40000,36,6.72
,,IN,MORTGAGE,24000,36,14.08
driver,3.0,VA,MORTGAGE,15000,60,14.08
parts expeditor,10.0,MI,MORTGAGE,10000,36,9.44
,,CA,RENT,20000,36,22.91
extrusion manager,10.0,OH,RENT,19200,60,20.0
finance department,2.0,IN,MORTGAGE,32675,60,24.84
instructional assistant ,3.0,AZ,MORTGAGE,2500,36,9.93
customer service specialist ,3.0,FL,RENT,6000,36,10.42
manager,2.0,CA,RENT,8000,36,9.44
survey technician,4.0,MD,MORTGAGE,6000,36,15.05
qc techician,2.0,GA,RENT,5000,36,11.98
teacher,7.0,OH,MORTGAGE,6000,36,9.44
house keeping,10.0,NY,RENT,7000,36,18.45
supervisor,3.0,MI,MORTGAGE,13000,60,26.3
,1.0,NV,MORTGAGE,5000,36,6.08
registered nurse,2.0,NC,RENT,8900,36,7.96
physician,10.0,WA,MORTGAGE,27300,60,26.77
financial director,10.0,FL,RENT,9000,36,6.08
manager data analytics,4.0,CA,RENT,6400,36,6.08
owner,9.0,TX,OWN,10000,36,7.34
sales ,5.0,CA,RENT,5000,36,13.59
,,SC,MORTGAGE,25000,36,7.35
crew member/ section leader,9.0,NC,RENT,13000,60,12.62
practice manager,10.0,TX,OWN,10000,36,17.09
building engineer,6.0,AZ,RENT,15200,36,20.0
vp sales and marketing,0.0,OR,RENT,20000,60,14.07
minister,10.0,OH,RENT,20000,36,9.43
office manager,10.0,TX,MORTGAGE,2400,36,12.61
,,PA,OWN,3000,36,6.08
acct manager,4.0,FL,OWN,5000,36,17.09
handyman,5.0,MN,MORTGAGE,12000,36,10.9
"mgr, bus operations/financial analysis",10.0,NE,MORTGAGE,10500,36,6.72
driver,10.0,KY,MORTGAGE,12000,60,16.02
therapist,2.0,AR,RENT,24000,60,14.08
hha,1.0,NY,OWN,5600,36,7.34
teacher ,3.0,DC,RENT,10000,36,14.08
sheriff officer ,2.0,NJ,RENT,30000,60,10.42
attorney ,10.0,AZ,MORTGAGE,15000,36,7.35
order selector,4.0,OH,MORTGAGE,8000,36,9.44
porter,10.0,FL,MORTGAGE,15000,36,20.0
tennis instructor/contract labor,3.0,TX,RENT,19425,36,15.04
corpsman,10.0,LA,RENT,8000,36,21.45
personal assistant ,2.0,NH,RENT,5825,36,10.91
obedience trainer,3.0,OR,MORTGAGE,15000,36,10.41
consultant,0.0,VA,MORTGAGE,30000,60,12.62
community spport,1.0,MO,RENT,10000,36,9.44
ar receptist,9.0,AL,OWN,2000,36,9.92
operations  manager,4.0,CA,RENT,25000,36,9.44
photographer,5.0,NY,RENT,14400,36,13.59
owner,4.0,WI,RENT,12000,36,15.05
caregiver,10.0,WA,OWN,2000,36,19.42
mechanical engineer,10.0,OH,MORTGAGE,32000,36,10.9
counselor,10.0,NJ,RENT,8650,36,6.08
courier,10.0,FL,RENT,22000,36,17.09
armed guard,8.0,NJ,MORTGAGE,36000,36,9.44
iwtf operator ,10.0,AL,MORTGAGE,32000,60,16.01
registered nurse,10.0,NC,MORTGAGE,9000,36,6.07
office manager,10.0,CO,RENT,20000,60,13.59
ct tech,10.0,TX,MORTGAGE,10000,60,25.82
comptroller,5.0,NY,RENT,10000,60,9.43
professional driver,0.0,NC,RENT,20000,60,25.81
,,FL,MORTGAGE,4700,36,6.08
branch manager,8.0,NV,MORTGAGE,35175,60,9.44
risk manager,3.0,AK,MORTGAGE,30000,36,7.35
,,NJ,MORTGAGE,10000,60,14.07
manager,6.0,TX,RENT,24000,36,17.47
,,NC,OWN,2500,36,20.0
table games dealer,10.0,NV,RENT,12000,60,9.92
information tech specialist 4,10.0,NY,MORTGAGE,9775,36,5.31
operations supervisor,10.0,TX,MORTGAGE,8000,36,15.04
assistant director of financial aid,0.0,CA,RENT,11000,60,19.03
probation officer,4.0,TX,MORTGAGE,20000,60,17.09
registered nurse,1.0,NJ,RENT,20000,60,12.62
claims rep,4.0,NC,RENT,27000,60,16.02
finance director,8.0,IN,MORTGAGE,2000,36,10.41
logistics lead,5.0,WA,RENT,3000,36,9.44
police officer,0.0,CA,RENT,20000,36,13.59
city driver,1.0,PA,RENT,5500,36,10.41
head of customer success,3.0,IL,MORTGAGE,22000,60,5.31
carpenter,10.0,AL,MORTGAGE,8400,36,7.97
assistant principal,5.0,ME,MORTGAGE,5500,36,6.72
